county_fips,max_hourly_des_demand,max_hourly_undes_demand,max_hourly_total_demand,acc_des_demand,acc_undes_demand,acc_total_demand,supply,max_hourly_des_deficit,max_hourly_total_deficit,acc_des_deficit,acc_total_deficit,diagnosis
18105,9.713470039228534,13.541719995865645,22.455257208334146,175.01387488327626,102.56281600244236,277.5766908857186,40,0.0,0.0,0.0,0.0,Typical/Other
18107,195.96446149004169,8.643818382613539,202.5610597294047,3297.3323768360733,118.05636159411716,3415.3887384301906,165,30.964461490041685,37.56105972940469,229.40495873023815,278.96500318813946,High Stress
18109,12.228615843434225,10.06909432214688,19.383657028422327,167.2458354076493,144.06350196828797,311.3093373759373,56,0.0,0.0,0.0,0.0,Elevated
18111,29.920957476630665,0.7025639186501675,30.044939344627753,452.7817819253664,4.5873291158922695,457.36911104125863,36,0.0,0.0,0.0,0.0,Elevated
18113,18.811377310594438,7.4069798160465785,22.22093944813968,363.88257985181093,57.02198747273947,420.9045673245504,50,0.0,0.0,0.0,0.0,Typical/Other
18115,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,No Supply
18117,0.0,3.5875087108252552,3.5875087108252552,0.0,25.99185232646923,25.99185232646923,0,0.0,3.5875087108252552,0.0,25.99185232646923,No Supply
18119,0.0,5.781036156053054,5.781036156053054,0.0,35.783882029239784,35.783882029239784,0,0.0,5.781036156053054,0.0,35.783882029239784,No Supply
18121,0.0,2.035663371564696,2.035663371564696,0.0,9.281244863574615,9.281244863574615,0,0.0,2.035663371564696,0.0,9.281244863574615,No Supply
18123,0.0,2.8655699199009623,2.8655699199009623,0.0,26.838508518096777,26.838508518096777,0,0.0,2.8655699199009623,0.0,26.838508518096777,No Supply
18125,0.0,2.3565624978133703,2.3565624978133703,0.0,28.447075866461418,28.447075866461418,0,0.0,2.3565624978133703,0.0,28.447075866461418,No Supply
18127,749.4358162420863,26.536276760142403,765.6999858692703,13019.325118406203,390.76807551628957,13410.093193922492,755,0.0,10.699985869270336,0.0,32.670504498745345,High Stress
18129,34.7812346233463,40.29113317753987,63.01946471358789,579.9168228288632,413.24239156451057,993.1592143933738,28,6.7812346233463,35.01946471358789,36.302613876669255,355.37199012436366,Elevated
18131,5.776052840722329,2.310421136288926,6.449925672139932,56.749719160096824,7.653270013957079,64.4029891740539,35,0.0,0.0,0.0,0.0,Typical/Other
18133,60.1311158212115,14.874734897021973,73.44400355404615,893.2278305661715,187.9422754238727,1081.1701059900442,90,0.0,0.0,0.0,0.0,Typical/Other
18135,24.891914481555297,4.876486170363173,27.730466132960725,316.7168592587363,30.7509762235588,347.4678354822951,30,0.0,0.0,0.0,0.0,Elevated
18137,99.85581940056841,23.561485476538763,117.15294167501152,1638.3647222436025,228.04152014792834,1866.4062423915307,80,19.855819400568407,37.15294167501152,121.29462824561467,264.54275907233017,High Stress
18139,8.139475121397126,2.9706113581741342,9.624780800484189,23.170768593758233,30.0031747175587,53.17394331131693,15,0.0,0.0,0.0,0.0,Typical/Other
18141,68.26732206064092,46.10669905326359,91.05810496396248,1265.3610710563098,501.1346572497657,1766.4957283060755,70,0.0,21.058104963962478,0.0,130.44754862678053,High Stress
18143,9.67642926463674,2.781249129955477,11.124996519821883,140.49170952288992,30.82551119033989,171.31722071322983,20,0.0,0.0,0.0,0.0,Typical/Other
18145,132.79375239520684,34.803291504525816,156.20573149047547,2666.070587187555,365.0884159453055,3031.1590031328606,84,48.79375239520684,72.20573149047547,650.0705871875549,1015.1590031328604,High Stress
18147,9.45822348875256,15.480602526489005,23.819281194123967,181.55928599021854,194.76219388064055,376.3214798708591,14,0.0,9.819281194123967,0.0,75.97218154392702,Elevated
18149,79.37022024059546,2.6589688522812525,79.37022024059546,1117.0328148433548,12.962473154871098,1129.9952879982259,65,14.370220240595458,14.370220240595458,92.37231511864984,92.37231511864984,High Stress
18151,369.59172256183444,25.23189518562973,384.8789714269225,6952.20702799189,386.7832654031959,7338.990293395086,640,0.0,0.0,0.0,0.0,Typical/Other
18153,18.53385444160793,2.1035356268082586,18.53385444160793,271.24239122978963,11.370462847612231,282.6128540774019,122,0.0,0.0,0.0,0.0,Typical/Other
18155,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,No Supply
18157,102.40492815471875,17.758375846920245,113.04971828774232,1894.772643678313,243.7042817954874,2138.4769254738003,92,10.404928154718746,21.049718287742323,54.78508238216398,169.84361154377785,High Stress
18159,0.0,0.9073479128737525,0.9073479128737525,0.0,4.429992751089526,4.429992751089526,0,0.0,0.9073479128737525,0.0,4.429992751089526,No Supply
18161,0.0,0.3014709296406734,0.3014709296406734,0.0,0.602941859281346,0.602941859281346,0,0.0,0.3014709296406734,0.0,0.602941859281346,No Supply
18163,6.5976191986160035,33.212286936722336,37.856242197884086,84.39187664249108,500.49026804258335,584.8821446850744,62,0.0,0.0,0.0,0.0,Elevated
18165,91.12431607511549,2.547369306660906,92.77787158996556,1549.5155894832776,29.00425754426188,1578.5198470275395,119,0.0,0.0,0.0,0.0,Elevated
18167,48.54434931811393,15.039229788749005,56.349519208477304,862.2491745549429,143.6976196481946,1005.9467942031375,135,0.0,0.0,0.0,0.0,Typical/Other
18169,7.682403523759147,6.693579307829751,10.724939572772662,125.9609924291598,63.05655961580518,189.017552044965,15,0.0,0.0,0.0,0.0,Typical/Other
18171,0.0,5.7176719928658555,5.7176719928658555,0.0,90.99956833716078,90.99956833716078,0,0.0,5.7176719928658555,0.0,90.99956833716078,No Supply
18173,1.5829272241980914,9.057861338466829,9.585503746532861,14.905898027865394,96.38267987339513,111.28857790126052,10,0.0,0.0,0.0,0.0,Typical/Other
18175,0.0,7.8675603467061,7.8675603467061,0.0,37.684952921197265,37.684952921197265,0,0.0,7.8675603467061,0.0,37.684952921197265,No Supply
18177,307.1483648134353,24.2260541377748,314.84369965719907,5136.208489609887,221.26462779167656,5357.473117401563,355,0.0,0.0,0.0,0.0,Elevated
18179,0.0,7.141887661660059,7.141887661660059,0.0,33.32880908774695,33.32880908774695,0,0.0,7.141887661660059,0.0,33.32880908774695,No Supply
18181,21.58898165663861,20.20151496919403,41.429755287097095,458.7797348704454,267.4203293380804,726.2000642085259,28,0.0,13.429755287097095,0.0,110.15378801469922,Elevated
18183,0.0,3.9319753385187552,3.9319753385187552,0.0,27.663012337366442,27.663012337366442,0,0.0,3.9319753385187552,0.0,27.663012337366442,No Supply
